Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Antoine Kombouaré,Antoine Kombouaré-NAN-2122,FC Nantes,2122,FRA-Ligue 1,36,48.1885,55,6.8115
Antoine Kombouaré,Antoine Kombouaré-TOU-1920,Toulouse FC,1920,FRA-Ligue 1,9,44.91275,31.63915,-13.2736
Antonio Conte,Antonio Conte-INT-1920,Inter,1920,ITA-Serie A,35,71.5935,82,10.4065
Antonio Conte,Antonio Conte-INT-2021,Inter,2021,ITA-Serie A,34,77.82535,91,13.17465
Antonio Conte,Antonio Conte-TOT-2122,Tottenham Hotspur,2122,ENG-Premier League,28,53.8185,71,17.1815
Antonio Filippini,Antonio Filippini-LVO-1920,AS Livorno,1920,ITA-Serie B,7,29.5342,22.02215,-7.51205
Antonio Hidalgo,Antonio Hidalgo-CD -2021,CE Sabadell,2021,ESP-La Liga 2,40,50.6387,46,-4.6387
Antonio Iriondo,Antonio Iriondo-MAJ-1819,Rayo Majadahonda,1819,ESP-La Liga 2,39,44.4101,45,0.5899
Antonio Mohamed,Antonio Mohamed-VIG-1819,Celta Vigo,1819,ESP-La Liga,8,51.22595,46.361,-4.86495
Antony Sweeney,Antony Sweeney-HART-2122,Hartlepool United,2122,ENG-League Two,3,53.19605,49.451,-3.74505
Armando Evangelista,Armando Evangelista-AROU-2122,FC Arouca,2122,POR-Primeira Liga,37,36.0193,31,-5.0193
Arnar Viðarsson,Arnar Viðarsson-KSC-1819,Sporting Lokeren,1819,BEL-First Division,1,23.13695,23.13695,0
Arnauld Mercier,Arnauld Mercier-WAA-1920,SK Beveren,1920,BEL-First Division,19,23.48965,23.316,-0.17365
Arne Slot,Arne Slot-ALK-1920,AZ Alkmaar,1920,NED-Eredivisie,26,55.19205,73.5578,18.36575
Arne Slot,Arne Slot-ALK-2021,AZ Alkmaar,2021,NED-Eredivisie,11,65.5432,62.90785,-2.63535
Arne Slot,Arne Slot-FEY-2122,Feyenoord,2122,NED-Eredivisie,35,57.10615,71,13.89385
Art Langeler,Art Langeler-ZWO-2122,PEC Zwolle,2122,NED-Eredivisie,12,38.39085,27.49945,-10.8914
Artur Jorge,Artur Jorge-BRAG-1920,Sporting Braga,1920,POR-Primeira Liga,5,58.75475,60,1.24525
Asier Garitano,Asier Garitano-ALA-1920,CD Alavés,1920,ESP-La Liga,30,43.1588,39.1069,-4.0519
Asier Garitano,Asier Garitano-LEG-2021,CD Leganés,2021,ESP-La Liga 2,20,66.34125,73,6.65875
Asier Garitano,Asier Garitano-LEG-2122,CD Leganés,2122,ESP-La Liga 2,12,70.16405,54.02725,-16.1368
Asier Garitano,Asier Garitano-SOC-1819,Real Sociedad,1819,ESP-La Liga,13,52.7849,48.14855,-4.63635
Asif Šarić,Asif Šarić-HAN-1920,Hannover 96,1920,GER-Bundesliga 2,2,48.72385,45.44645,-3.2774
Attilio Tesser,Attilio Tesser-PDC-1920,Pordenone Calcio,1920,ITA-Serie B,35,42.5638,58,15.4362
Attilio Tesser,Attilio Tesser-PDC-2021,Pordenone Calcio,2021,ITA-Serie B,26,47.12505,46.73005,-0.395
Augusto Gama,Augusto Gama-RIO-1819,Rio Ave FC,1819,POR-Primeira Liga,2,42.86325,40.4943,-2.36895
Augusto Inácio,Augusto Inácio-DAV-1819,CD Aves,1819,POR-Primeira Liga,17,32.3768,36,3.6232
Augusto Inácio,Augusto Inácio-DAV-1920,CD Aves,1920,POR-Primeira Liga,10,43.3132,29.97395,-13.33925
Aurelio Andreazzoli,Aurelio Andreazzoli-EMP-1819,Empoli FC,1819,ITA-Serie A,16,39.67655,38,-1.67655
Aurelio Andreazzoli,Aurelio Andreazzoli-EMP-2122,Empoli FC,2122,ITA-Serie A,34,38.69005,41,2.30995
Aurelio Andreazzoli,Aurelio Andreazzoli-GEN-1920,Genoa CFC,1920,ITA-Serie A,7,44.9711,41.4338,-3.5373
