Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Romain Revelli,Romain Revelli-DUN-2122,USL Dunkerque,2122,FRA-Ligue 2,35,38.40855,31,-7.40855
Roman Berezovskiy,Roman Berezovskiy-SCH-1920,FK Sochi,1920,RUS-Premier League,2,29.1393,29.0652,-0.0741
Roman Mählich,Roman Mählich-SSG-1819,Sturm Graz,1819,AUS-Bundesliga,19,28.50185,24,-4.50185
Roman Stary,Roman Stary-WOL-2021,Wolfsberger AC,2021,AUS-Bundesliga,3,28.7122,27.2613,-1.4509
Ron Jans,Ron Jans-TWN-2021,FC Twente,2021,NED-Eredivisie,33,39.0593,41,1.9407
Ron Jans,Ron Jans-TWN-2122,FC Twente,2122,NED-Eredivisie,35,40.48205,68,27.51795
Ronald Koeman,Ronald Koeman-BAR-2021,FC Barcelona,2021,ESP-La Liga,35,82.39825,79,-3.39825
Ronald Koeman,Ronald Koeman-BAR-2122,FC Barcelona,2122,ESP-La Liga,10,80.738,69.02755,-11.71045
Ronny Deila,Ronny Deila-VAL-1819,Vålerenga IF,1819,NOR-Eliteserien,10,43.6921,42,-1.6921
Ronny Deila,Ronny Deila-VAL-1920,Vålerenga IF,1920,NOR-Eliteserien,32,41.5685,34,-7.5685
Rory Delap,Rory Delap-STK-1920,Stoke City,1920,ENG-Championship,1,51.16035,51.16035,0
Ross Embleton,Ross Embleton-LEY-1920,Leyton Orient,1920,ENG-League Two,20,52.47895,42,-10.47895
Ross Embleton,Ross Embleton-LEY-2021,Leyton Orient,2021,ENG-League Two,24,63.78755,62.49545,-1.2921
Roy Hodgson,Roy Hodgson-CRY-1819,Crystal Palace,1819,ENG-Premier League,34,46.683,49,2.317
Roy Hodgson,Roy Hodgson-CRY-1920,Crystal Palace,1920,ENG-Premier League,41,47.5093,43,-4.5093
Roy Hodgson,Roy Hodgson-CRY-2021,Crystal Palace,2021,ENG-Premier League,36,42.3139,44,1.6861
Roy Hodgson,Roy Hodgson-WAT-2122,Watford FC,2122,ENG-Premier League,16,30.05055,23,-7.05055
Rozada,Rozada-OVI-1920,Real Oviedo,1920,ESP-La Liga 2,21,44.2848,49.3576,5.0728
Rozada,Rozada-RAC-1920,Racing Santander,1920,ESP-La Liga 2,3,33,33,0
Rubi,Rubi-ALM-2021,UD Almería,2021,ESP-La Liga 2,7,71.50085,73,1.49915
Rubi,Rubi-ALM-2122,UD Almería,2122,ESP-La Liga 2,45,75.98095,81,5.01905
Rubi,Rubi-BET-1920,Real Betis,1920,ESP-La Liga,28,51.1674,46.9763,-4.1911
Rubi,Rubi-ESP-1819,Espanyol Barcelona,1819,ESP-La Liga,32,50.19185,53,2.80815
Rubén Albés,Rubén Albés-LUG-2021,CD Lugo,2021,ESP-La Liga 2,9,43.46235,47,3.53765
Rubén Albés,Rubén Albés-LUG-2122,CD Lugo,2122,ESP-La Liga 2,45,46.02735,50,3.97265
Rudi García,Rudi García-LYON-1920,Olympique Lyon,1920,FRA-Ligue 1,17,57.8784,57.7747,-0.1037
Rudi García,Rudi García-LYON-2021,Olympique Lyon,2021,FRA-Ligue 1,35,66.28555,76,9.71445
Rudi García,Rudi García-MRS-1819,Olympique Marseille,1819,FRA-Ligue 1,33,68.12185,61,-7.12185
Rufete,Rufete-ESP-1920,Espanyol Barcelona,1920,ESP-La Liga,4,30.9924,25,-5.9924
Rui Almeida,Rui Almeida-CAN-1920,SM Caen,1920,FRA-Ligue 2,7,59.8463,50.99755,-8.84875
Rui Almeida,Rui Almeida-GVFC-2021,Gil Vicente,2021,POR-Primeira Liga,8,40.74595,38.4221,-2.32385
Rui Almeida,Rui Almeida-TRY-1819,ESTAC Troyes,1819,FRA-Ligue 2,29,54.71015,71,16.28985
Rui Silva,Rui Silva-FAM-2122,FC Famalicão,2122,POR-Primeira Liga,21,36.16475,39,2.83525
Rui Vitória,Rui Vitória-BEN-1819,SL Benfica,1819,POR-Primeira Liga,14,76.4953,73.15905,-3.33625
Rui Vitória,Rui Vitória-ROT-2122,Spartak Moskva,2122,NED-Eredivisie,16,43.69355,31.76255,-11.931
Rui Vitória,Rui Vitória-SPM-2122,Spartak Moskva,2122,RUS-Premier League,16,48.05215,41.5437,-6.50845
Russell Martin,Russell Martin-MKD-1920,Milton Keynes Dons,1920,ENG-League One,21,46.16465,37,-9.16465
Russell Martin,Russell Martin-MKD-2021,Milton Keynes Dons,2021,ENG-League One,37,61.4283,65,3.5717
Russell Martin,Russell Martin-SWA-2122,Swansea City,2122,ENG-Championship,39,59.67255,61,1.32745
Russell Wilcox,Russell Wilcox-SCUN-1920,Scunthorpe United,1920,ENG-League Two,9,54.77835,40,-14.77835
Ruud Brood,Ruud Brood-ADO-2021,ADO Den Haag,2021,NED-Eredivisie,24,27.62705,22,-5.62705
Ruud Brood,Ruud Brood-NAC-1819,NAC Breda,1819,NED-Eredivisie,7,26.2339,23,-3.2339
Ryan Lowe,Ryan Lowe-BURY-1819,Bury FC,1819,ENG-League Two,34,71.84615,79,7.15385
Ryan Lowe,Ryan Lowe-PLY-1920,Plymouth Argyle,1920,ENG-League Two,34,72.518,68,-4.518
Ryan Lowe,Ryan Lowe-PLY-2021,Plymouth Argyle,2021,ENG-League One,37,52.3381,53,0.6619
Ryan Lowe,Ryan Lowe-PLY-2122,Plymouth Argyle,2122,ENG-League One,16,46.3272,71.35405,25.02685
Ryan Lowe,Ryan Lowe-PNE-2122,Preston North End,2122,ENG-Championship,23,61.2372,64,2.7628
Ryan Mason,Ryan Mason-TOT-2021,Tottenham Hotspur,2021,ENG-Premier League,7,61.16495,62,0.83505
Réginald Ray,Réginald Ray-MNS-1920,Le Mans FC,1920,FRA-Ligue 2,3,35.08055,37.4597,2.37915
Réginald Ray,Réginald Ray-VAL-1819,Valenciennes FC,1819,FRA-Ligue 2,29,44.4241,43,-1.4241
Régis Brouard,Régis Brouard-BAS-2122,SC Bastia,2122,FRA-Ligue 2,26,38.3982,46,7.6018
Régis Brouard,Régis Brouard-RSFC-1819,Red Star FC,1819,FRA-Ligue 2,4,34.2913,36.4276,2.1363
Rúben Amorim,Rúben Amorim-BRAG-1920,Sporting Braga,1920,POR-Primeira Liga,9,55.39095,63.72015,8.3292
Rúben Amorim,Rúben Amorim-SCP-1920,Sporting CP,1920,POR-Primeira Liga,10,59.08155,60,0.91845
Rúben Amorim,Rúben Amorim-SCP-2021,Sporting CP,2021,POR-Primeira Liga,33,57.00465,85,27.99535
Rúben Amorim,Rúben Amorim-SCP-2122,Sporting CP,2122,POR-Primeira Liga,37,69.8751,85,15.1249
Rüdiger Rehm,Rüdiger Rehm-ING-2122,FC Ingolstadt 04,2122,GER-Bundesliga 2,18,23.71825,21,-2.71825
Rüdiger Rehm,Rüdiger Rehm-WEH-1920,SV Wehen Wiesbaden,1920,GER-Bundesliga 2,32,37.9031,34,-3.9031
Rıza Çalımbay,Rıza Çalımbay-KNY-1819,Konyaspor,1819,TUR-Super Lig,7,49.97495,47.87955,-2.0954
Rıza Çalımbay,Rıza Çalımbay-SIV-1920,Sivasspor,1920,TUR-Super Lig,36,43.87865,60,16.12135
Rıza Çalımbay,Rıza Çalımbay-SIV-2021,Sivasspor,2021,TUR-Super Lig,34,59.57905,65,5.42095
Rıza Çalımbay,Rıza Çalımbay-SIV-2122,Sivasspor,2122,TUR-Super Lig,36,56.40275,54,-2.40275
Sabas,Sabas-EXT-1819,Extremadura UD,1819,ESP-La Liga 2,7,47.9579,43.46695,-4.49095
Sabri Lamouchi,Sabri Lamouchi-FOR-1920,Nottingham Forest,1920,ENG-Championship,37,60.46325,70,9.53675
Sabri Lamouchi,Sabri Lamouchi-FOR-2021,Nottingham Forest,2021,ENG-Championship,5,59.85895,51.5743,-8.28465
Sabri Lamouchi,Sabri Lamouchi-REN-1819,Stade Rennes,1819,FRA-Ligue 1,9,52.55955,52.73905,0.1795
Sam Allardyce,Sam Allardyce-WBA-2021,West Bromwich Albion,2021,ENG-Premier League,24,26.47785,26,-0.47785
Sam Ricketts,Sam Ricketts-SHR-1819,Shrewsbury Town,1819,ENG-League One,25,57.21095,52,-5.21095
Sam Ricketts,Sam Ricketts-SHR-1920,Shrewsbury Town,1920,ENG-League One,34,63.18375,41,-22.18375
Sam Ricketts,Sam Ricketts-SHR-2021,Shrewsbury Town,2021,ENG-League One,11,57.71245,45.3999,-12.31255
Samet Aybaba,Samet Aybaba-ADA-2122,Adana Demirspor,2122,TUR-Super Lig,4,41.52025,39.98685,-1.5334
Samet Aybaba,Samet Aybaba-BUR-1819,Bursaspor,1819,TUR-Super Lig,21,39.38415,37.9772,-1.40695
Samet Aybaba,Samet Aybaba-KAY-1920,Kayserispor,1920,TUR-Super Lig,2,29.7081,27.28365,-2.42445
Samet Aybaba,Samet Aybaba-KAY-2021,Kayserispor,2021,TUR-Super Lig,6,39.6989,34.2652,-5.4337
Sami Uğurlu,Sami Uğurlu-KAS-2122,Kasımpaşa SK,2122,TUR-Super Lig,20,34.5653,53,18.4347
Sandro Chieffo,Sandro Chieffo-FCL-2122,FC Luzern,2122,SWI-Super League,5,37.3141,30.8569,-6.4572
Sandro Mendes,Sandro Mendes-SET-1920,Vitória Setúbal,1920,POR-Primeira Liga,11,39.313,38.0912,-1.2218
Sandro Schwarz,Sandro Schwarz-DINA-2021,Dinamo Moskva,2021,RUS-Premier League,21,41.9079,50,8.0921
Sandro Schwarz,Sandro Schwarz-DINA-2122,Dinamo Moskva,2122,RUS-Premier League,29,49.91735,53,3.08265
Sandro Schwarz,Sandro Schwarz-MNZ-1819,1. FSV Mainz 05,1819,GER-Bundesliga,30,43.7205,43,-0.7205
Sandro Schwarz,Sandro Schwarz-MNZ-1920,1. FSV Mainz 05,1920,GER-Bundesliga,11,43.0098,35.6394,-7.3704
Santiago Solari,Santiago Solari-MAD-1819,Real Madrid,1819,ESP-La Liga,16,74.8067,71.03055,-3.77615
Scott Marshall,Scott Marshall-REA-1819,Reading FC,1819,ENG-Championship,2,42.93385,43.1312,0.19735
Scott Parker,Scott Parker-BOU-2122,AFC Bournemouth,2122,ENG-Championship,39,80.90665,88,7.09335
Scott Parker,Scott Parker-FUL-1819,Fulham FC,1819,ENG-Premier League,12,25.39015,26,0.60985
Scott Parker,Scott Parker-FUL-1920,Fulham FC,1920,ENG-Championship,37,83.80885,81,-2.80885
Scott Parker,Scott Parker-FUL-2021,Fulham FC,2021,ENG-Premier League,36,38.9956,28,-10.9956
Sean Dyche,Sean Dyche-BRN-1819,Burnley FC,1819,ENG-Premier League,34,34.0177,40,5.9823
Sean Dyche,Sean Dyche-BRN-1920,Burnley FC,1920,ENG-Premier League,41,43.02485,54,10.97515
Sean Dyche,Sean Dyche-BRN-2021,Burnley FC,2021,ENG-Premier League,36,43.86545,39,-4.86545
Sean Dyche,Sean Dyche-BRN-2122,Burnley FC,2122,ENG-Premier League,31,40.92465,33.4616,-7.46305
Sebastian Hoeneß,Sebastian Hoeneß-HOF-1920,1899 Hoffenheim,1920,GER-Bundesliga,2,52,52,0
Sebastian Hoeneß,Sebastian Hoeneß-HOF-2021,1899 Hoffenheim,2021,GER-Bundesliga,33,49.1886,43,-6.1886
Sebastian Hoeneß,Sebastian Hoeneß-HOF-2122,1899 Hoffenheim,2122,GER-Bundesliga,34,46.44105,47.2972,0.85615
Sedat Karabük,Sedat Karabük-ANT-2021,Antalyaspor,2021,TUR-Super Lig,1,48.97525,48.97525,0
Selim Benachour,Selim Benachour-OLD-2122,Oldham Athletic,2122,ENG-League Two,8,46.6496,42.53925,-4.11035
Sempere,Sempere-ELC-2122,Elche CF,2122,ESP-La Liga,1,35.74965,35.74965,0
Serdar Sabuncu,Serdar Sabuncu-GOZ-2122,Göztepe,2122,TUR-Super Lig,4,30.73225,28,-2.73225
Sergei Tomarov,Sergei Tomarov-UFA-1819,FK Ufa,1819,RUS-Premier League,7,29.4898,28.48645,-1.00335
Sergen Yalçın,Sergen Yalçın-ALA-1819,Alanyaspor,1819,TUR-Super Lig,22,37.7009,44,6.2991
Sergen Yalçın,Sergen Yalçın-BES-1920,Beşiktaş,1920,TUR-Super Lig,16,57.2272,62,4.7728
Sergen Yalçın,Sergen Yalçın-BES-2021,Beşiktaş,2021,TUR-Super Lig,34,77.9936,84,6.0064
Sergen Yalçın,Sergen Yalçın-BES-2122,Beşiktaş,2122,TUR-Super Lig,15,72.89035,55.2826,-17.60775
Sergen Yalçın,Sergen Yalçın-MAL-1920,Yeni Malatyaspor,1920,TUR-Super Lig,18,41.34755,48.84955,7.502
Sergey Kuznetsov,Sergey Kuznetsov-ROT-1920,Spartak Moskva,1920,NED-Eredivisie,2,46.12845,47.6433,1.51485
Sergey Kuznetsov,Sergey Kuznetsov-SPM-1920,Spartak Moskva,1920,RUS-Premier League,2,39.50545,39.03855,-0.4669
Sergey Matveev,Sergey Matveev-KRA-1920,FK Krasnodar,1920,RUS-Premier League,21,58.8757,56.20485,-2.67085
Sergey Pervushin,Sergey Pervushin-FCT-1920,FK Tambov,1920,RUS-Premier League,17,24.01005,29.4482,5.43815
Sergey Pervushin,Sergey Pervushin-FCT-2021,FK Tambov,2021,RUS-Premier League,29,32.30515,13,-19.30515
Sergey Podpaliy,Sergey Podpaliy-TUL-1920,Arsenal Tula,1920,RUS-Premier League,3,34.90615,38,3.09385
Sergey Podpaliy,Sergey Podpaliy-TUL-2021,Arsenal Tula,2021,RUS-Premier League,10,33.35715,33.60925,0.2521
Sergey Semak,Sergey Semak-ZEN-1819,Zenit St. Petersburg,1819,RUS-Premier League,27,64.55825,64,-0.55825
Sergey Semak,Sergey Semak-ZEN-1920,Zenit St. Petersburg,1920,RUS-Premier League,26,62.78385,72,9.21615
Sergey Semak,Sergey Semak-ZEN-2021,Zenit St. Petersburg,2021,RUS-Premier League,29,69.28475,65,-4.28475
Sergey Semak,Sergey Semak-ZEN-2122,Zenit St. Petersburg,2122,RUS-Premier League,29,67.32575,65,-2.32575
Sergey Yuran,Sergey Yuran-KHI-2122,FK Khimki,2122,RUS-Premier League,12,24.1101,32,7.8899
Sergi Barjuán,Sergi Barjuán-BAR-2122,FC Barcelona,2122,ESP-La Liga,2,66.60045,65.08615,-1.5143
Sergi Escobar,Sergi Escobar-CAS-2021,CD Castellón,2021,ESP-La Liga 2,4,42.20985,41,-1.20985
Sergio,Sergio-CAD-2122,Cádiz CF,2122,ESP-La Liga,18,27.69995,39,11.30005
Sergio,Sergio-VLD-1819,Real Valladolid,1819,ESP-La Liga,32,38.30415,41,2.69585
Sergio,Sergio-VLD-1920,Real Valladolid,1920,ESP-La Liga,35,41.23525,42,0.76475
Sergio,Sergio-VLD-2021,Real Valladolid,2021,ESP-La Liga,34,41.3905,31.6942,-9.6963
Sergio Egea,Sergio Egea-OVI-1819,Real Oviedo,1819,ESP-La Liga 2,9,62.00595,63,0.99405
Sergio Egea,Sergio Egea-OVI-1920,Real Oviedo,1920,ESP-La Liga 2,5,53.6163,48.23325,-5.38305
Sergio Pellicer,Sergio Pellicer-FUE-2122,CF Fuenlabrada,2122,ESP-La Liga 2,10,43.6718,40.8988,-2.773
Sergio Pellicer,Sergio Pellicer-MGA-1920,Málaga CF,1920,ESP-La Liga 2,19,53.7327,53,-0.7327
Sergio Pellicer,Sergio Pellicer-MGA-2021,Málaga CF,2021,ESP-La Liga 2,40,58.42345,53,-5.42345
Sergio Rodríguez,Sergio Rodríguez-LOG-2021,UD Logroñés,2021,ESP-La Liga 2,40,50.89905,44,-6.89905
Serkan Özbalta,Serkan Özbalta-ALT-2122,Altay Izmir,2122,TUR-Super Lig,7,35.72575,37.0825,1.35675
Serse Cosmi,Serse Cosmi-CRO-2021,FC Crotone,2021,ITA-Serie A,12,22.41275,23,0.58725
Serse Cosmi,Serse Cosmi-PER-1920,AC Perugia Calcio,1920,ITA-Serie B,13,50.5117,45.87475,-4.63695
Serse Cosmi,Serse Cosmi-VEN-1819,Venezia FC,1819,ITA-Serie B,14,38.85035,38,-0.85035
Sese Rivero,Sese Rivero-TEN-1920,CD Tenerife,1920,ESP-La Liga 2,2,50.95545,48.6118,-2.34365
Shaun Maloney,Shaun Maloney-HIBS-2122,Hibernian FC,2122,SCO-premiership,15,50.58625,45.15445,-5.4318
Shota Arveladze,Shota Arveladze-HCY-2122,Hull City,2122,ENG-Championship,17,51.04095,51,-0.04095
Silas,Silas-SCP-1920,Sporting CP,1920,POR-Primeira Liga,19,60.47345,58.12765,-2.3458
Simo Valakari,Simo Valakari-TRO-1819,Tromsø IL,1819,NOR-Eliteserien,10,39.50355,36,-3.50355
Simo Valakari,Simo Valakari-TRO-1920,Tromsø IL,1920,NOR-Eliteserien,32,38.17205,30,-8.17205
Simon Bassey,Simon Bassey-WIM-1819,AFC Wimbledon,1819,ENG-League One,2,35.2542,37.7399,2.4857
Simon Davies,Simon Davies-RSCA-1920,RSC Anderlecht,1920,BEL-First Division,8,45.2476,37.3781,-7.8695
Simon Grayson,Simon Grayson-BLK-1920,Blackpool FC,1920,ENG-League One,27,64.0728,57.07265,-7.00015
Simon Grayson,Simon Grayson-FLEE-2021,Fleetwood Town,2021,ENG-League One,17,60.56855,60,-0.56855
Simon Grayson,Simon Grayson-FLEE-2122,Fleetwood Town,2122,ENG-League One,15,58.5636,54.03765,-4.52595
Simon Ireland,Simon Ireland-FOR-1819,Nottingham Forest,1819,ENG-Championship,1,65.5775,65.5775,0
Simon Poulsen,Simon Poulsen-SON-2122,SønderjyskE,2122,DEN-Superligaen,4,26.1344,25.1083,-1.0261
Simon Weaver,Simon Weaver-HAR-2021,Harrogate Town,2021,ENG-League Two,37,43.21315,57,13.78685
Simon Weaver,Simon Weaver-HAR-2122,Harrogate Town,2122,ENG-League Two,42,57.96555,53,-4.96555
Simon Wiles,Simon Wiles-FLEE-2021,Fleetwood Town,2021,ENG-League One,3,69.1217,62.31515,-6.80655
Simone Inzaghi,Simone Inzaghi-INT-2122,Inter,2122,ITA-Serie A,34,76.0886,84,7.9114
Simone Inzaghi,Simone Inzaghi-LAZ-1819,Lazio Roma,1819,ITA-Serie A,32,66.019,59,-7.019
Simone Inzaghi,Simone Inzaghi-LAZ-1920,Lazio Roma,1920,ITA-Serie A,35,55.4494,78,22.5506
Simone Inzaghi,Simone Inzaghi-LAZ-2021,Lazio Roma,2021,ITA-Serie A,34,59.06895,68,8.93105
Sinan Kaloğlu,Sinan Kaloğlu-ALT-2122,Altay Izmir,2122,TUR-Super Lig,8,35.55965,34,-1.55965
Siniša Mihajlović,Siniša Mihajlović-BOL-1819,Bologna FC,1819,ITA-Serie A,16,33.52255,44,10.47745
Siniša Mihajlović,Siniša Mihajlović-BOL-1920,Bologna FC,1920,ITA-Serie A,35,43.4027,47,3.5973
Siniša Mihajlović,Siniša Mihajlović-BOL-2021,Bologna FC,2021,ITA-Serie A,34,44.21005,41,-3.21005
Siniša Mihajlović,Siniša Mihajlović-BOL-2122,Bologna FC,2122,ITA-Serie A,34,45.6528,46,0.3472
Sjors Ultee,Sjors Ultee-SIT-1920,Fortuna Sittard,1920,NED-Eredivisie,26,28.01545,32.3509,4.33545
Sjors Ultee,Sjors Ultee-SIT-2021,Fortuna Sittard,2021,NED-Eredivisie,24,29.37935,41,11.62065
Sjors Ultee,Sjors Ultee-SIT-2122,Fortuna Sittard,2122,NED-Eredivisie,35,40.13545,35,-5.13545
Slaven Bilić,Slaven Bilić-WBA-1920,West Bromwich Albion,1920,ENG-Championship,37,72.54265,83,10.45735
Slaven Bilić,Slaven Bilić-WBA-2021,West Bromwich Albion,2021,ENG-Premier League,12,35.8755,25.92725,-9.94825
Slaviša Jokanović,Slaviša Jokanović-FUL-1819,Fulham FC,1819,ENG-Premier League,8,39.7693,29.88155,-9.88775
Slaviša Jokanović,Slaviša Jokanović-SHEF-2122,Sheffield United,2122,ENG-Championship,14,75.9946,65.8699,-10.1247
Sol Campbell,Sol Campbell-MAC-1819,Macclesfield Town,1819,ENG-League Two,25,35.8787,44,8.1213
Sol Campbell,Sol Campbell-MAC-1920,Macclesfield Town,1920,ENG-League Two,2,47.08325,51.9438,4.86055
Sol Campbell,Sol Campbell-SOUT-1920,Southend United,1920,ENG-League One,21,28.6672,19,-9.6672
Stefan Billborn,Stefan Billborn-HAM-1819,Hammarby IF,1819,SWE-Allvenskan,11,53.7287,58,4.2713
Stefan Billborn,Stefan Billborn-HAM-1920,Hammarby IF,1920,SWE-Allvenskan,34,48.48485,65,16.51515
Stefan Billborn,Stefan Billborn-HAM-2021,Hammarby IF,2021,SWE-Allvenskan,25,59.64565,41,-18.64565
Stefan Billborn,Stefan Billborn-HAM-2122,Hammarby IF,2122,SWE-Allvenskan,7,45.76055,44.91705,-0.8435
Stefan Billborn,Stefan Billborn-SAR-2122,Sarpsborg 08,2122,NOR-Eliteserien,2,39,39,0
Stefan Krämer,Stefan Krämer-EUP-2122,KAS Eupen,2122,BEL-First Division,23,45.5411,33.77535,-11.76575
Stefan Leitl,Stefan Leitl-FUR-1819,SpVgg Greuther Fürth,1819,GER-Bundesliga 2,14,39.9016,42,2.0984
Stefan Leitl,Stefan Leitl-FUR-1920,SpVgg Greuther Fürth,1920,GER-Bundesliga 2,32,39.8857,44,4.1143
Stefan Leitl,Stefan Leitl-FUR-2021,SpVgg Greuther Fürth,2021,GER-Bundesliga 2,33,42.7996,64,21.2004
Stefan Leitl,Stefan Leitl-FUR-2122,SpVgg Greuther Fürth,2122,GER-Bundesliga,35,34.21305,18,-16.21305
Stefano Colantuono,Stefano Colantuono-SAL-1819,US Salernitana 1919,1819,ITA-Serie B,12,46.75795,46.60335,-0.1546
Stefano Colantuono,Stefano Colantuono-SAL-2122,US Salernitana 1919,2122,ITA-Serie A,13,31.4548,23.31085,-8.14395
Stefano Pioli,Stefano Pioli-FIO-1819,ACF Fiorentina,1819,ITA-Serie A,24,58.5514,51.74735,-6.80405
Stefano Pioli,Stefano Pioli-MIL-1920,AC Milan,1920,ITA-Serie A,28,55.3143,66,10.6857
Stefano Pioli,Stefano Pioli-MIL-2021,AC Milan,2021,ITA-Serie A,34,68.9117,79,10.0883
Stefano Pioli,Stefano Pioli-MIL-2122,AC Milan,2122,ITA-Serie A,34,67.2166,86,18.7834
Stefano Vecchi,Stefano Vecchi-VEN-1819,Venezia FC,1819,ITA-Serie B,3,48.8639,45.6128,-3.2511
Steffen Baumgart,Steffen Baumgart-COL-2122,1. FC Köln,2122,GER-Bundesliga,35,37.74415,52,14.25585
Steffen Baumgart,Steffen Baumgart-PAD-1819,SC Paderborn 07,1819,GER-Bundesliga 2,28,44.83625,57,12.16375
Steffen Baumgart,Steffen Baumgart-PAD-1920,SC Paderborn 07,1920,GER-Bundesliga,36,32.35035,20,-12.35035
Steffen Baumgart,Steffen Baumgart-PAD-2021,SC Paderborn 07,2021,GER-Bundesliga 2,33,51.4264,47,-4.4264
Stephen Crainey,Stephen Crainey-FLEE-2122,Fleetwood Town,2122,ENG-League One,25,53.67495,40,-13.67495
Stephen Glass,Stephen Glass-ABER-2021,Aberdeen FC,2021,SCO-premiership,4,53.7929,53,-0.7929
Stephen Glass,Stephen Glass-ABER-2122,Aberdeen FC,2122,SCO-premiership,21,52.7678,47.0334,-5.7344
Stephen Robinson,Stephen Robinson-MORE-2122,Morecambe FC,2122,ENG-League One,27,53.0873,42.3446,-10.7427
Stephen Robinson,Stephen Robinson-MOT-1819,Motherwell FC,1819,SCO-premiership,29,39.8957,51,11.1043
Stephen Robinson,Stephen Robinson-MOT-1920,Motherwell FC,1920,SCO-premiership,27,44.1097,54.1228,10.0131
Stephen Robinson,Stephen Robinson-MOT-2021,Motherwell FC,2021,SCO-premiership,20,49.09495,40.8351,-8.25985
Stephen Robinson,Stephen Robinson-STM-2122,St. Mirren FC,2122,SCO-premiership,11,44.598,44,-0.598
Steve Ball,Steve Ball-COL-2021,Colchester United,2021,ENG-League Two,23,73.31095,56.8611,-16.44985
Steve Bruce,Steve Bruce-AVL-1819,Aston Villa,1819,ENG-Championship,3,72.24955,66.5555,-5.69405
Steve Bruce,Steve Bruce-NEW-1920,Newcastle United,1920,ENG-Premier League,41,45.36365,44,-1.36365
Steve Bruce,Steve Bruce-NEW-2021,Newcastle United,2021,ENG-Premier League,36,39.36705,45,5.63295
Steve Bruce,Steve Bruce-NEW-2122,Newcastle United,2122,ENG-Premier League,8,43.5084,35.3877,-8.1207
Steve Bruce,Steve Bruce-SHW-1819,Sheffield Wednesday,1819,ENG-Championship,16,58.94955,64,5.05045
Steve Bruce,Steve Bruce-WBA-2122,West Bromwich Albion,2122,ENG-Championship,15,69.65875,67,-2.65875
Steve Chettle,Steve Chettle-NOTT-1819,Notts County,1819,ENG-League Two,2,42.6049,42.71875,0.11385
Steve Clarke,Steve Clarke-KILM-1819,Kilmarnock FC,1819,SCO-premiership,29,59.5298,67,7.4702
Steve Cooper,Steve Cooper-FOR-2122,Nottingham Forest,2122,ENG-Championship,33,52.1139,80,27.8861
Steve Cooper,Steve Cooper-SWA-1920,Swansea City,1920,ENG-Championship,37,68.6294,70,1.3706
Steve Cooper,Steve Cooper-SWA-2021,Swansea City,2021,ENG-Championship,35,64.9034,80,15.0966
Steve Cotterill,Steve Cotterill-SHR-2021,Shrewsbury Town,2021,ENG-League One,26,45.23005,54,8.76995
Steve Cotterill,Steve Cotterill-SHR-2122,Shrewsbury Town,2122,ENG-League One,40,57.2755,50,-7.2755
Steve Evans,Steve Evans-GIL-1920,Gillingham FC,1920,ENG-League One,34,58.96905,51,-7.96905
Steve Evans,Steve Evans-GIL-2021,Gillingham FC,2021,ENG-League One,37,63.49175,67,3.50825
Steve Evans,Steve Evans-GIL-2122,Gillingham FC,2122,ENG-League One,21,64.65325,44.0283,-20.62495
Steve Evans,Steve Evans-PET-1819,Peterborough United,1819,ENG-League One,16,85.93255,71.91935,-14.0132
Steve Evans,Steve Evans-STEV-2122,Stevenage FC,2122,ENG-League Two,11,43.11335,47,3.88665
Steve Lovell,Steve Lovell-GIL-1819,Gillingham FC,1819,ENG-League One,29,48.37335,53.8904,5.51705
Steve Lovell,Steve Lovell-GIL-2122,Gillingham FC,2122,ENG-League One,3,41.0676,38.4028,-2.6648
Steve McClaren,Steve McClaren-QPR-1819,Queens Park Rangers,1819,ENG-Championship,25,56.93605,54.62425,-2.3118
Steve Morison,Steve Morison-CAR-2122,Cardiff City,2122,ENG-Championship,30,53.0614,53,-0.0614
Steve Spooner,Steve Spooner-BIR-1920,Birmingham City,1920,ENG-Championship,3,52.4444,50,-2.4444
Steven Ferguson,Steven Ferguson-ROSS-1920,Ross County FC,1920,SCO-premiership,27,46.94235,38.7138,-8.22855
Steven Gerrard,Steven Gerrard-AVL-2122,Aston Villa,2122,ENG-Premier League,27,43.60615,45,1.39385
Steven Gerrard,Steven Gerrard-RANG-1819,Rangers FC,1819,SCO-premiership,29,70.059,78,7.941
Steven Gerrard,Steven Gerrard-RANG-1920,Rangers FC,1920,SCO-premiership,27,83.85405,85.35655,1.5025
Steven Gerrard,Steven Gerrard-RANG-2021,Rangers FC,2021,SCO-premiership,37,79.64875,102,22.35125
Steven Gerrard,Steven Gerrard-RANG-2122,Rangers FC,2122,SCO-premiership,11,86.32025,83.1557,-3.16455
Steven Pressley,Steven Pressley-CAR-1819,Carlisle United,1819,ENG-League Two,20,76.4408,68,-8.4408
Steven Pressley,Steven Pressley-CAR-1920,Carlisle United,1920,ENG-League Two,14,62.0565,52.4097,-9.6468
Steven Reid,Steven Reid-FOR-2122,Nottingham Forest,2122,ENG-Championship,1,50.17625,50.17625,0
Steven Schumacher,Steven Schumacher-PLY-2122,Plymouth Argyle,2122,ENG-League One,24,71.65135,80,8.34865
Stjepan Tomas,Stjepan Tomas-ANT-1920,Antalyaspor,1920,TUR-Super Lig,6,32.76205,29.69045,-3.0716
