name,coach_id,team,season,league,last_updated,expectation,result,difference
Phil Parkinson,Phil Parkinson-BLT-1819,Bolton Wanderers,1819,ENG-Championship,33,52.25305,32.0,-20.25305
Phil Parkinson,Phil Parkinson-BLT-1920,Bolton Wanderers,1920,ENG-League One,3,44.8745,37.91265,-6.961849999999998
Phil Parkinson,Phil Parkinson-SUN-1920,Sunderland AFC,1920,ENG-League One,23,80.829,59.0,-21.828999999999994
Phil Parkinson,Phil Parkinson-SUN-2021,Sunderland AFC,2021,ENG-League One,11,84.4505,83.5686,-0.8819000000000017
Philippe Clement,Philippe Clement-CBKV-1920,Club Brugge KV,1920,BEL-First Division,27,65.0035,72.2614,7.257899999999992
Philippe Clement,Philippe Clement-CBKV-2021,Club Brugge KV,2021,BEL-First Division,30,67.84675,75.73235,7.885599999999997
Philippe Clement,Philippe Clement-CBKV-2122,Club Brugge KV,2122,BEL-First Division,18,67.44875,64.0399,-3.408850000000001
Philippe Clement,Philippe Clement-GENK-1819,KRC Genk,1819,BEL-First Division,21,61.6488,63.7061,2.057299999999998
Philippe Clement,Philippe Clement-MON-2122,AS Monaco,2122,FRA-Ligue 1,19,61.2119,69.0,7.7881
Philippe Clement,Philippe Clement-MON-2223,AS Monaco,2223,FRA-Ligue 1,15,65.17955,67.84905,2.6694999999999993
Philippe Hinschberger,Philippe Hinschberger-AMI-2122,Amiens SC,2122,FRA-Ligue 2,35,45.51915,44.0,-1.5191500000000033
Philippe Hinschberger,Philippe Hinschberger-AMI-2223,Amiens SC,2223,FRA-Ligue 2,15,52.83535,53.8589,1.0235500000000002
Philippe Hinschberger,Philippe Hinschberger-GRE-1819,Grenoble Foot 38,1819,FRA-Ligue 2,29,46.0151,50.0,3.984900000000003
Philippe Hinschberger,Philippe Hinschberger-GRE-1920,Grenoble Foot 38,1920,FRA-Ligue 2,26,42.7311,47.4316,4.700500000000005
Philippe Hinschberger,Philippe Hinschberger-GRE-2021,Grenoble Foot 38,2021,FRA-Ligue 2,34,43.9716,65.0,21.028399999999998
Philippe Montanier,Philippe Montanier-LNS-1819,RC Lens,1819,FRA-Ligue 2,29,70.48245,63.0,-7.48245
Philippe Montanier,Philippe Montanier-LNS-1920,RC Lens,1920,FRA-Ligue 2,24,66.5929,67.2786,0.6856999999999971
Philippe Montanier,Philippe Montanier-STL-2021,Standard Liège,2021,BEL-First Division,15,56.75095,48.71095,-8.040000000000006
Philippe Montanier,Philippe Montanier-TOU-2122,Toulouse FC,2122,FRA-Ligue 2,35,76.42615,79.0,2.573849999999993
Philippe Montanier,Philippe Montanier-TOU-2223,Toulouse FC,2223,FRA-Ligue 1,15,41.81565,42.56895,0.753300000000003
Philippe Saint-Jean,Philippe Saint-Jean-REM-1920,Royal Excel Mouscron,1920,BEL-First Division,3,37.61965,37.42605,-0.19360000000000355
Phillip Cocu,Phillip Cocu-DER-1920,Derby County,1920,ENG-Championship,37,69.1741,64.0,-5.174099999999996
Phillip Cocu,Phillip Cocu-DER-2021,Derby County,2021,ENG-Championship,9,60.9669,47.52625,-13.440650000000005
Phillip Cocu,Phillip Cocu-FEN-1819,Fenerbahçe,1819,TUR-Super Lig,4,58.4874,51.2392,-7.248200000000004
Phillip Cocu,Phillip Cocu-VIT-2223,Vitesse,2223,NED-Eredivisie,7,39.2972,38.1696,-1.127599999999994
Piero Braglia,Piero Braglia-COS-1819,Cosenza Calcio,1819,ITA-Serie B,35,35.4056,46.0,10.5944
Piero Braglia,Piero Braglia-COS-1920,Cosenza Calcio,1920,ITA-Serie B,20,49.5041,41.68535,-7.818750000000001
Pierpaolo Bisoli,Pierpaolo Bisoli-COS-2122,Cosenza Calcio,2122,ITA-Serie B,14,31.59125,35.0,3.4087500000000013
Pierpaolo Bisoli,Pierpaolo Bisoli-CRE-1920,US Cremonese,1920,ITA-Serie B,11,45.516,49.0,3.4840000000000018
Pierpaolo Bisoli,Pierpaolo Bisoli-CRE-2021,US Cremonese,2021,ITA-Serie B,15,49.7515,40.18985,-9.56165
Pierpaolo Bisoli,Pierpaolo Bisoli-PAD-1819,Calcio Padova,1819,ITA-Serie B,16,37.8253,31.98835,-5.836949999999998
Poya Asbaghi,Poya Asbaghi-BAR-2122,Barnsley FC,2122,ENG-Championship,21,41.77255,34.0788,-7.693750000000001
Poya Asbaghi,Poya Asbaghi-IFK-1819,IFK Göteborg,1819,SWE-Allvenskan,11,33.2909,31.0,-2.2909000000000006
Poya Asbaghi,Poya Asbaghi-IFK-1920,IFK Göteborg,1920,SWE-Allvenskan,34,30.4166,48.0,17.5834
Poya Asbaghi,Poya Asbaghi-IFK-2021,IFK Göteborg,2021,SWE-Allvenskan,13,45.72305,33.45475,-12.268300000000004
Pál Dárdai,Pál Dárdai-HER-1819,Hertha BSC,1819,GER-Bundesliga,30,43.75655,43.0,-0.7565499999999972
Pál Dárdai,Pál Dárdai-HER-2021,Hertha BSC,2021,GER-Bundesliga,16,35.0063,35.0,-0.006300000000003081
Pál Dárdai,Pál Dárdai-HER-2122,Hertha BSC,2122,GER-Bundesliga,14,41.25315,36.87585,-4.377299999999998
Pål Arne Johansen,Pål Arne Johansen-ODDS-2122,Odds BK,2122,NOR-Eliteserien,2,33.0,33.0,0.0
Pål Arne Johansen,Pål Arne Johansen-ODDS-2223,Odds BK,2223,NOR-Eliteserien,30,35.3978,45.3442,9.946400000000004
Pêpa,Pêpa-FERR-1920,Paços de Ferreira,1920,POR-Primeira Liga,32,35.1082,39.0,3.8918000000000035
Pêpa,Pêpa-FERR-2021,Paços de Ferreira,2021,POR-Primeira Liga,33,40.46215,53.0,12.537849999999999
Pêpa,Pêpa-GUI-2122,Vitória Guimarães,2122,POR-Primeira Liga,37,43.6984,48.0,4.3016000000000005
Pêpa,Pêpa-TOND-1819,CD Tondela,1819,POR-Primeira Liga,33,34.7754,35.0,0.22460000000000235
Quique Flores,Quique Flores-GET-2122,Getafe CF,2122,ESP-La Liga,29,38.45245,39.0,0.5475500000000011
Quique Flores,Quique Flores-GET-2223,Getafe CF,2223,ESP-La Liga,14,46.49945,41.04205,-5.4574
Quique Flores,Quique Flores-WAT-1920,Watford FC,1920,ENG-Premier League,10,39.88075,34.58795,-5.2928
Quique Setién,Quique Setién-BAR-1920,FC Barcelona,1920,ESP-La Liga,17,81.1008,82.0,0.8991999999999933
Quique Setién,Quique Setién-BET-1819,Real Betis,1819,ESP-La Liga,32,48.6423,50.0,1.3577000000000012
Quique Setién,Quique Setién-VLB-2223,Villarreal CF,2223,ESP-La Liga 2,2,52.3826,51.48455,-0.8980499999999978
Quique Setién,Quique Setién-VLR-2223,Villarreal CF,2223,ESP-La Liga,4,62.3325,57.2318,-5.100700000000003
Rafa Benítez,Rafa Benítez-EVE-2122,Everton FC,2122,ENG-Premier League,20,49.89455,43.378,-6.516550000000002
Rafa Benítez,Rafa Benítez-NEW-1819,Newcastle United,1819,ENG-Premier League,34,41.37125,45.0,3.6287499999999966
Rafa Navarro,Rafa Navarro-COR-1819,Córdoba CF,1819,ESP-La Liga 2,17,37.8921,34.0,-3.8920999999999992
Raffaele Palladino,Raffaele Palladino-MOD-2223,AC Monza,2223,ITA-Serie B,8,39.7924,42.8369,3.0444999999999993
Raffaele Palladino,Raffaele Palladino-MON-2223,AC Monza,2223,ITA-Serie A,9,32.91905,38.86405,5.945
Rainer Widmayer,Rainer Widmayer-FUR-2223,SpVgg Greuther Fürth,2223,GER-Bundesliga 2,1,38.62535,38.62535,0.0
Ralf Rangnick,Ralf Rangnick-MAN-2122,Manchester United,2122,ENG-Premier League,24,60.6461,58.0,-2.646099999999997
Ralf Rangnick,Ralf Rangnick-RBL-1819,RB Leipzig,1819,GER-Bundesliga,30,49.99815,66.0,16.001849999999997
Ralf Santelli,Ralf Santelli-FWK-2021,Würzburger Kickers,2021,GER-Bundesliga 2,8,24.54805,25.0,0.4519500000000001
Ralph Hasenhüttl,Ralph Hasenhüttl-SOU-1819,Southampton FC,1819,ENG-Premier League,24,34.9097,39.0,4.090299999999999
Ralph Hasenhüttl,Ralph Hasenhüttl-SOU-1920,Southampton FC,1920,ENG-Premier League,41,44.1258,52.0,7.874200000000002
Ralph Hasenhüttl,Ralph Hasenhüttl-SOU-2021,Southampton FC,2021,ENG-Premier League,36,49.66215,43.0,-6.662149999999997
Ralph Hasenhüttl,Ralph Hasenhüttl-SOU-2122,Southampton FC,2122,ENG-Premier League,38,43.23255,40.0,-3.2325500000000034
Ralph Hasenhüttl,Ralph Hasenhüttl-SOU-2223,Southampton FC,2223,ENG-Premier League,14,40.2629,37.9233,-2.3396000000000043
Ramis,Ramis-ALB-1819,Albacete,1819,ESP-La Liga 2,39,63.8924,71.0,7.107599999999998
Ramis,Ramis-ALB-1920,Albacete,1920,ESP-La Liga 2,25,58.09625,45.96365,-12.132599999999996
Ramis,Ramis-TEN-2021,CD Tenerife,2021,ESP-La Liga 2,29,49.1089,52.0,2.8911000000000016
Ramis,Ramis-TEN-2122,CD Tenerife,2122,ESP-La Liga 2,45,55.7137,69.0,13.286299999999997
Ramis,Ramis-TEN-2223,CD Tenerife,2223,ESP-La Liga 2,14,57.3601,55.9505,-1.4096000000000046
